tick, sec, speed, distance, spdacm, x, y
0, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000, 109.000000
1, 0.016667, 0.008806, 0.008806, 0.007813, 500.007813, 109.000000
2, 0.033333, 0.013067, 0.021873, 0.015625, 500.015625, 109.000000
3, 0.050000, 0.017324, 0.039197, 0.027344, 500.027344, 109.000000
4, 0.066667, 0.021577, 0.060774, 0.046875, 500.046875, 109.000000
5, 0.083333, 0.025826, 0.086600, 0.066406, 500.066406, 109.000000
6, 0.100000, 0.030072, 0.116671, 0.093750, 500.093750, 109.000000
7, 0.116667, 0.034313, 0.150984, 0.121094, 500.121094, 109.000000
8, 0.133333, 0.038551, 0.189535, 0.156250, 500.156250, 109.000000
9, 0.150000, 0.042784, 0.232320, 0.195313, 500.195313, 109.000000
10, 0.166667, 0.047014, 0.279334, 0.238281, 500.238281, 109.000000
11, 0.183333, 0.051241, 0.330575, 0.285156, 500.285156, 109.000000
12, 0.200000, 0.055463, 0.386037, 0.335938, 500.335938, 109.000000
13, 0.216667, 0.059681, 0.445718, 0.390625, 500.390625, 109.000000
14, 0.233333, 0.063896, 0.509614, 0.453125, 500.453125, 109.000000
15, 0.250000, 0.068107, 0.577721, 0.515625, 500.515625, 109.000000
16, 0.266667, 0.072313, 0.650034, 0.585938, 500.585938, 109.000000
17, 0.283333, 0.076517, 0.726551, 0.656250, 500.656250, 109.000000
18, 0.300000, 0.080716, 0.807267, 0.734375, 500.734375, 109.000000
19, 0.316667, 0.084911, 0.892178, 0.812500, 500.812500, 109.000000
20, 0.333333, 0.089103, 0.981281, 0.898438, 500.898438, 109.000000
21, 0.350000, 0.093291, 1.074572, 0.988281, 500.988281, 109.000000
22, 0.366667, 0.097475, 1.172047, 1.082031, 501.082031, 109.000000
23, 0.383333, 0.101655, 1.273702, 1.179688, 501.179688, 109.000000
24, 0.400000, 0.105832, 1.379533, 1.281250, 501.281250, 109.000000
25, 0.416667, 0.110004, 1.489538, 1.386719, 501.386719, 109.000000
26, 0.433333, 0.114173, 1.603711, 1.496094, 501.496094, 109.000000
27, 0.450000, 0.118338, 1.722049, 1.609375, 501.609375, 109.000000
28, 0.466667, 0.122499, 1.844548, 1.726563, 501.726563, 109.000000
29, 0.483333, 0.126657, 1.971205, 1.851563, 501.851563, 109.000000
30, 0.500000, 0.130810, 2.102015, 1.976563, 501.976563, 109.000000
31, 0.516667, 0.134960, 2.236975, 2.109375, 502.109375, 109.000000
32, 0.533333, 0.139107, 2.376082, 2.242188, 502.242188, 109.000000
33, 0.550000, 0.143249, 2.519331, 2.382813, 502.382813, 109.000000
34, 0.566667, 0.147388, 2.666719, 2.527344, 502.527344, 109.000000
35, 0.583333, 0.151522, 2.818241, 2.671875, 502.671875, 109.000000
36, 0.600000, 0.155654, 2.973894, 2.824219, 502.824219, 109.000000
37, 0.616667, 0.159781, 3.133675, 2.980469, 502.980469, 109.000000
38, 0.633333, 0.163904, 3.297580, 3.140625, 503.140625, 109.000000
39, 0.650000, 0.168024, 3.465604, 3.304688, 503.304688, 109.000000
40, 0.666667, 0.172140, 3.637744, 3.472656, 503.472656, 109.000000
41, 0.683333, 0.176253, 3.813997, 3.644531, 503.644531, 109.000000
42, 0.700000, 0.180361, 3.994358, 3.820313, 503.820313, 109.000000
43, 0.716667, 0.184466, 4.178825, 4.000000, 504.000000, 109.000000
44, 0.733333, 0.188567, 4.367392, 4.183594, 504.183594, 109.000000
45, 0.750000, 0.192665, 4.560057, 4.375000, 504.375000, 109.000000
46, 0.766667, 0.196758, 4.756815, 4.566406, 504.566406, 109.000000
47, 0.783333, 0.200848, 4.957664, 4.761719, 504.761719, 109.000000
48, 0.800000, 0.204935, 5.162598, 4.964844, 504.964844, 109.000000
49, 0.816667, 0.209017, 5.371616, 5.167969, 505.167969, 109.000000
50, 0.833333, 0.213096, 5.584712, 5.378906, 505.378906, 109.000000
